Trip Name,Time Summary,Elevation Gain,Avg Speed,Distance
040224A.jpeg,1:05:37,"2,966 ft",49.3 mph,54.01 miles
040324A.jpeg,1:07:12,"3,039 ft",50.5 mph,56.59 miles
040324B.jpeg,1:05:42,"3,077 ft","49,.2 mph",53.89 miles
040424A.jpeg,1:16:40,"2,981 ft",42.1 mph,53.92 miles
040924A.jpeg,1:15:09,"3,229 ft",47.0 mph,58.97 miles
040924B.jpeg,1:07:06,"2,948 ft",48.2 mph,53.92 miles
041124A.jpeg,1:06:41,"2,680 ft",50.0 mph,55.61 miles
041124B.jpeg,1:08:29,"3,157 ft",47.2 mph,53.91 miles
041224A.jpeg,1:06:16,"2,092 ft",50.8 mph,56.18 miles
041224B.jpeg,1:06:46,"2,976 ft",50.8 mph,56.55 miles
041624A.jpeg,1:13:58,"3,378 ft",48.7 mph,60.03 miles
041624B.jpeg,1:07:23,"2,999 ft",47.9 mph,53.94 miles
041724A.jpeg,1:06:35,"2,117 ft",48.8 mph,54.20 miles
041724B.jpeg,1:06:46,3101 ft,51.4 mph,57.27 miles
041824A-too_long.jpeg,1:12:11,"2,996 ft",47.8 mph,57.59 miles
041824B-too_long.jpeg,1:30:07,"3,047 ft",36.0 mph,54.16 mile
042324A-too_long.jpeg,1:09:25,"3,156 ft",46.9 mph,54.30 miles
050924A.jpeg,1:00:26,"2,884 ft",62.5 mph,62.96 miles
050924B-too_long.jpeg,1:16:28,"3,030 ft",42.3 mph,53.95 miles
