Time Summary,Elevation Gain,Avg Speed,Distance,Trip Name
1:06:46,"2,996 ft",48.2 mph,53.65 miles,022624B1.jpeg
1:03:20,"3,149 ft",53.5 mph,56.52 miles,022724A.jpeg
1:08:02,"2,847 ft",47.6 mph,54.04 miles,022924A.jpeg
1:05:43,"2,968 ft",49.3 mph,54.03 miles,031224B.jpeg
1:06:38,"2,900 ft",48.6 mph,54.00 miles,031424A.jpeg
1:09:41,"2,961 ft",46.1 mph,53.57 miles,031424B.jpeg
1:10:14,"2,766 ft",46.1 mph,54.05 miles,031524A-too_long.jpeg
1:07:24,"3,162 ft",50.5 mph,56.82 miles,031524B.jpeg
1:04:38,"2,819 ft",50.1 mph,54.07 miles,031924A.jpeg
1:08:44,"3,105 ft",49.5 mph,56.74 miles,032024B-construction.jpeg
1:06:07,"3,056 ft",51.8 mph,57.18 miles,032124A.jpeg
1:02:21,"3,060 ft",50.2 mph,52.22 miles,032124B.jpeg
1:30:16,"3,033 ft",39.4 mph,59.31 miles,032224A.jpeg
1:06:52,"3,007 ft",48.3 mph,53.93 miles,032524B.jpeg
1:05:12,"3,112 ft",49.6 mph,53.91 miles,032624B.jpeg
1:09:22,"2,987 ft",46.6 mph,53.94 miles,032724B.jpeg
1:04:04,"2,995 ft",53.0 mph,56.63 miles,032824A.jpeg
1:09:38,"2,934 ft",46.4 mph,53.91 miles,032824B1.jpeg
1:00:26,"2,884 ft",62.5 mph,62.96 miles,050924A.jpeg
1:16:28,"3,030 ft",42.3 mph,53.95 miles,050924B-too_long.jpeg
