Time Summary,Avg Altitude,Avg Speed,Distance,Elevation Gain,Trip Name
01h08m09s,930 ft,47.5 mph,53.9 mile,-628 ft,022624B.PNG
0 1h03m28s,939 ft,54. mph,57.5 mile,-651 ft,022724A.PNG
01h08m19s,918 ft,47.6 mph,54.2 mile,,022924A.PNG
01h05m09s,946 ft,49.5 mph,53.8 mile,,031224B.PNG
01h06m52s,941 ft,48.5 mph,54.0 mile,,031424A.PNG
01h09m53s,937 ft,46.3 mph,53.9 mile,-622 ft,031424B.PNG
01h40m59s,944 ft,32.1 mph,54.0 mile,,031524A-too_long.PNG
01h07m41s,932 ft,50.3 mph,56.7 mile,,031524B.PNG
01h04m58s,932 ft,49.9 mph,54.0mile,661 ft,031924A.PNG
0 1h08m27s,951 ft,49.7 mph,56.8 mile,7930 ft,032024B-construction.PNG
01h05m04s,935 ft,52.9 mph,57.3 mile,,032124A.PNG
01h02m15s,939 ft,50.2 mph,52.1 mile,-629 ft,032124B.PNG
01h29m47s,800 ft,40.0 mph,59.8 mile,-518 ft,032224A.PNG
01h07m17s,935 ft,48.0 mph,53.9 mile,,032524B.PNG
0 1h05m26s,930 ft,49.4 mph,53.9 mile,-620 ft,032624B.PNG
01h09m37s,938 ft,46.4 mph,53.9 mile,-622 ft,032724B.PNG
01h04m19s,960 ft,53.6 mph,57.5 mile,-640 ft,032824A.PNG
01h09m51s,941 ft,46.2 mph,53.8 mile,-624 ft,032824B.PNG
01h00m38s,865 ft,63.7 mph,64.4 mile,,050924A.PNG
01h16m36s,933 ft,42.5 mph,54.3 mile,-629 ft,050924B-too_long.PNG
