,Unnamed: 0,Time Summary,Elevation Gain (ft),Avg Speed (mph),Distance (miles),Date,Letter
0,0,1:06:46,"2,996",48.2,53.65,2024-26-02,B
1,1,1:03:20,"3,149",53.5,56.52,2024-27-02,A
2,2,1:08:02,"2,847",47.6,54.04,2024-29-02,A
3,3,1:05:43,"2,968",49.3,54.03,2024-12-03,B
4,4,1:06:38,"2,900",48.6,54.0,2024-14-03,A
5,5,1:09:41,"2,961",46.1,53.57,2024-14-03,B
6,6,1:10:14,"2,766",46.1,54.05,2024-15-03,A
7,7,1:07:24,"3,162",50.5,56.82,2024-15-03,B
8,8,1:04:38,"2,819",50.1,54.07,2024-19-03,A
9,9,1:08:44,"3,105",49.5,56.74,2024-20-03,B
10,10,1:06:07,"3,056",51.8,57.18,2024-21-03,A
11,11,1:02:21,"3,060",50.2,52.22,2024-21-03,B
12,12,1:30:16,"3,033",39.4,59.31,2024-22-03,A
13,13,1:06:52,"3,007",48.3,53.93,2024-25-03,B
14,14,1:05:12,"3,112",49.6,53.91,2024-26-03,B
15,15,1:09:22,"2,987",46.6,53.94,2024-27-03,B
16,16,1:04:04,"2,995",53.0,56.63,2024-28-03,A
17,17,1:09:38,"2,934",46.4,53.91,2024-28-03,B
18,18,1:00:26,"2,884",62.5,62.96,2024-09-05,A
19,19,1:16:28,"3,030",42.3,53.95,2024-09-05,B
