,Time Summary,Avg Altitude (ft),Avg Speed,Distance,Date,Letter
0,01h08m09s,930,47.5,53.9,2024-26-02,B
1,0 1h03m28s,939,54,57.5,2024-27-02,A
2,01h08m19s,918,47.6,54.2,2024-29-02,A
3,01h05m09s,946,49.5,53.8,12/3/2024,B
4,01h06m52s,941,48.5,54,2024-14-03,A
5,01h09m53s,937,46.3,53.9,2024-14-03,B
6,01h40m59s,944,32.1,54,2024-15-03,A
7,01h07m41s,932,50.3,56.7,2024-15-03,B
8,01h04m58s,932,49.9,54,2024-19-03,A
9,0 1h08m27s,951,49.7,56.8,2024-20-03,B
10,01h05m04s,935,52.9,57.3,2024-21-03,A
11,01h02m15s,939,50.2,52.1,2024-21-03,B
12,01h29m47s,800,40,59.8,2024-22-03,A
13,01h07m17s,935,48,53.9,2024-25-03,B
14,0 1h05m26s,930,49.4,53.9,2024-26-03,B
15,01h09m37s,938,46.4,53.9,2024-27-03,B
16,01h04m19s,960,53.6,57.5,2024-28-03,A
17,01h09m51s,941,46.2,53.8,2024-28-03,B
18,0 1h05m29s,15416,49.7,54.2,2/4/2024,A
19,0 1h07m27s,938,50.8,57.1,3/4/2024,A
20,01h05m55s,"1,527",49,53.8,3/4/2024,B
21,01h16m51s,1,42,53.8,4/4/2024,A
22,01h15m23s,"1,581",46.9,58.9,9/4/2024,A
23,01h07m18s,940,48,53.8,9/4/2024,B
24,01h06m52s,"1,601",49,54.6,11/4/2024,A
25,01h08m42s,1614,47,53.9,11/4/2024,B
26,01h06m32s,937,50.9,56.4,12/4/2024,A
27,01h06m25s,916,51.2,57.3,12/4/2024,B
28,01h14m11 s,952,48.6,60.1,2024-16-04,A
29,01h07m00s,950,48.1,54.2,2024-16-04,B
30,01 h06m48s,882,48.9,54.5,2024-17-04,A
31,01h07m03s,"1,495",51.2,57.2,2024-17-04,B
32,01h12m25s,952,47.7,57.6,2024-18-04,A
33,01 h30m27s,947,35.9,54.1,2024-18-04,B
34,01h09m39s,925,46.7,54.3,2024-23-04,A
35,01h00m38s,1617,63.7,64.4,9/5/2024,A
36,01 h16m36s,933,42.5,54.3,9/5/2024,B
