Image,Temperature
040124B1.jpeg,34°
040224A1.jpeg,29°
040324A1.jpeg,36°
040324B1.jpeg,41°
040424A1.jpeg,31°
040924A1.jpeg,62°
040924B1.jpeg,37°
041124A1.jpeg,47°
041124B1.jpeg,45°
041224A1.jpeg,61°
041224B1.jpeg,59°
041624A1.jpeg,48°
041624B1.jpeg,37°
041724A1.jpeg,53°
041724B1.jpeg,36°
041824A1-too_long.jpeg,40°
041824B1-too_long.jpeg,Null
042324A1-too_long.jpeg,38°
050924A1.jpeg,Null
050924B1-too_long.jpeg,46°
022624B.jpeg,31°
022724A1.jpeg,47°
022924A1.jpeg,16°
031224B1.jpeg,29°
031424A1.jpeg,49°
031424B1.jpeg,34°
031524A1-too_long.jpeg,40°
031524B1.jpeg,38°
031924A1.jpeg,33°
032024B1-construction.jpeg,32°
032124A1.jpeg,Null
032124B1.jpeg,Null
032224A1.jpeg,Null
032524B1.jpeg,Null
032624B1.jpeg,Null
032724B1.jpeg,39°
032824A1.jpeg,42°
032824B.jpeg,40°
050924A1.jpeg,Null
050924B1-too_long.jpeg,46°
