Trip,Too long,Date,Letter,Time Summary_GPS,Time Summary_Apple,Avg Altitude (ft),Avg Speed_GPS,Avg Speed_Apple,Distance_GPS,Distance_Apple,Elevation Gain (ft),Temperature,Corrected speed,Corrected Distance,Elevation Gain_GPX,Elevation Loss_GPX
0,0,26-Feb-24,B,1:08:09,1:06:46,930,47.5,48.2,53.9,53.65,"2,996",31,,,3146,-2889
1,0,27-Feb-24,A,1:03:28,1:03:20,939,54,53.5,57.5,56.52,"3,149",47,,,3223,-3463
2,0,29-Feb-24,A,1:08:19,1:08:02,918,47.6,47.6,54.2,54.04,"2,847",16,,,3375,-3616
3,0,12-Mar-24,B,1:05:09,1:05:43,946,49.5,49.3,53.8,54.03,"2,968",29,,,2950,-2700
5,0,14-Mar-24,A,1:06:52,1:06:38,941,48.5,48.6,54,54,"2,900",49,,,3150,-3377
6,0,14-Mar-24,B,1:09:53,1:09:41,937,46.3,46.1,53.9,53.57,"2,961",34,,,2962,-2699
7,1,15-Mar-24,A,01h40m59s,1:10:14,944,32.1,46.1,54,54.05,"2,766",40,48.84,54.06038679,2808,-3050
8,0,15-Mar-24,B,01h07m41s,1:07:24,932,50.3,50.5,56.7,56.82,"3,162",38,,,3156,-2906
9,0,19-Mar-24,A,01h04m58s,1:04:38,932,49.9,50.1,54,54.07,"2,819",33,,,2955,-3215
10,1,20-Mar-24,B,0 1h08m27s,1:08:44,951,49.7,49.5,56.8,56.74,"3,105",32,51.29,56.79643492,3145,-2897
11,0,21-Mar-24,A,01h05m04s,1:06:07,935,52.9,51.8,57.3,57.18,"3,056",,,,3442,-3655
12,0,21-Mar-24,B,01h02m15s,1:02:21,939,50.2,50.2,52.1,52.22,"3,060",,,,2946,-2585
13,0,22-Mar-24,A,01h29m47s,1:30:16,800,40,39.4,59.8,59.31,"3,033",,,,3449,-4143
14,0,25-Mar-24,B,01h07m17s,1:06:52,935,48,48.3,53.9,53.93,"3,007",,,,2878,-2620
15,0,26-Mar-24,B,0 1h05m26s,1:05:12,930,49.4,49.6,53.9,53.91,"3,112",,,,3004,-2753
16,0,27-Mar-24,B,01h09m37s,1:09:22,938,46.4,46.6,53.9,53.94,"2,987",39,,,2976,-2713
17,0,28-Mar-24,A,01h04m19s,1:04:04,960,53.6,53,57.5,56.63,"2,995",42,,,2905,-3148
18,0,28-Mar-24,B,01h09m51s,1:09:38,941,46.2,46.4,53.8,53.91,"2,934",40,,,3044,-2784
19,0,1-Apr-24,B,01h07m40s,,934,47.9,,54.1,,,34,,,3023,-2762
20,0,2-Apr-24,A,0 1h05m29s,1:05:37,15416,49.7,49.3,54.2,54.01,"2,966",29,,,2964,-2688
21,0,3-Apr-24,A,0 1h07m27s,1:07:12,938,50.8,50.5,57.1,56.59,"3,039",36,,,3034,-3281
22,0,3-Apr-24,B,01h05m55s,1:05:42,"1,527",49,49.2,53.8,53.89,"3,077",41,,,3035,-2798
23,0,4-Apr-24,A,01h16m51s,1:16:40,1,42,42.1,53.8,53.92,"2,981",31,,,3099,-2832
24,0,9-Apr-24,A,01h15m23s,1:15:09,"1,581",46.9,47,58.9,58.97,"3,229",62,,,3365,-3584
25,0,9-Apr-24,B,01h07m18s,1:07:06,940,48,48.2,53.8,53.92,"2,948",37,,,3027,-2754
26,0,11-Apr-24,A,01h06m52s,1:06:41,"1,601",49,50,54.6,55.61,"2,680",47,,,3327,-3547
27,0,11-Apr-24,B,01h08m42s,1:08:29,1614,47,47.2,53.9,53.91,"3,157",45,,,3107,-2844
28,0,12-Apr-24,A,01h06m32s,1:06:16,937,50.9,50.8,56.4,56.18,"2,092",61,,,3320,-3565
29,0,12-Apr-24,B,01h06m25s,1:06:46,916,51.2,50.8,57.3,56.55,"2,976",59,,,3296,-3027
30,0,16-Apr-24,A,01h14m11 s,1:13:58,952,48.6,48.7,60.1,60.03,"3,378",48,,,3915,-4189
31,0,16-Apr-24,B,01h07m00s,1:07:23,950,48.1,47.9,54.2,53.94,"2,999",37,,,3027,-2761
32,0,17-Apr-24,A,01 h06m48s,1:06:35,882,48.9,48.8,54.5,54.2,"2,117",53,,,2687,-3312
33,0,17-Apr-24,B,01h07m03s,1:06:46,"1,495",51.2,51.4,57.2,57.27,3101,36,,,3160,-2906
34,1,18-Apr-24,A,01h12m25s,1:12:11,952,47.7,47.8,57.6,57.59,"2,996",40,48.46,57.6,3206,-3441
35,1,18-Apr-24,B,01 h30m27s,1:30:07,947,35.9,36,54.1,54.16,"3,047",,50.83,53.88,3128,-2910
36,1,23-Apr-24,A,01h09m39s,1:09:25,925,46.7,46.9,54.3,54.3,"3,156",38,49.14,54.25,3116,-2852
37,0,9-May-24,A,01h00m38s,1:00:26,1617,63.7,62.5,64.4,62.96,"2,884",,,,3005,-3446
38,1,9-May-24,B,01 h16m36s,1:16:28,933,42.5,42.3,54.3,53.95,"3,030",46,50.79,54.06,3355,-3022
