Time Summary,Avg Altitude,Avg Speed,Distance,Image,Elevation Gain
0 1 hO5m29s,15416 ft,49..7 mph,54 2 mile,040224A.PNG,
01n05m55s,"1,527 ft",49. mph,53.8mile,040324B.PNG,
01n15m23s,"1,581 ft",46. mph,58 Ymile,040924A.PNG,
0 1 hO7 moos,950 ft,48.1. mph,54 2mile,041624B.PNG,-632 ft
01n12m25s,952 ft,01 nt 209s 74. 2mph,57 mile,041824A-too_long.PNG,-646 ft
01n00m38s,1617 ft,01 mO6s 63.7 mph,64.4mile,050924A.PNG,
01 h1 6m36s,933 ft,42.5 mph,54.3mile,050924B-too_long.PNG,-629 ft
01 h14m11 s,952 ft,01 mors 48 6mph,60.1 mile,041624A.jpg,-655 ft
01n00m38s,1617 ft,63.. mph,64.4 mile,050924A.jpg,
01n07m18s,940 ft,48. mph,53.8mile,040924B.jpg,-625 ft
,938 ft,50..8 mph,57 1 mile,040324A.jpg,-652 ft
